Date,Open,High,Low,Close,Adj Close,Volume,Returns
2/1/1993,43.96875,45.125,42.8125,44.40625,25.487268,5417600,
3/1/1993,44.5625,45.84375,44.21875,45.1875,25.935678,3019200,0.01759349
4/1/1993,45.25,45.25,43.28125,44.03125,25.391384,2697200,-0.020986303
5/1/1993,44.09375,45.65625,43.84375,45.21875,26.076181,1808000,0.02696966
6/1/1993,45.375,45.8125,44.21875,45.0625,25.98608,3438000,-0.003455299
7/1/1993,45.125,45.21875,44.15625,44.84375,26.043217,6117600,0.002198754
8/1/1993,44.90625,46.5625,44.84375,46.5625,27.04138,5440100,0.038327177
9/1/1993,46.40625,46.59375,44.8125,45.9375,26.678408,4369900,-0.013422836
10/1/1993,45.875,47.15625,45.71875,46.84375,27.374214,6972900,0.026081241
11/1/1993,46.78125,47,45.53125,46.34375,27.082027,5351100,-0.010673804
12/1/1993,46.59375,47.15625,46.375,46.59375,27.228121,6128000,0.0053945
1/1/1994,46.59375,48.3125,46.40625,48.21875,28.370609,6837100,0.041959855
2/1/1994,48.15625,48.28125,46.5625,46.8125,27.543226,10974400,-0.029163385
3/1/1994,46.8125,47.3125,43.53125,44.59375,26.237789,14705500,-0.047395937
4/1/1994,43.34375,45.359375,43.34375,45.09375,26.685005,11429000,0.017044729
5/1/1994,45.09375,45.9375,44.171875,45.8125,27.110346,8545100,0.015939326
6/1/1994,45.703125,46.5625,44,44.46875,26.315157,10352700,-0.02933157
7/1/1994,44.6875,46.046875,44.375,45.90625,27.345423,5452100,0.039151049
8/1/1994,45.9375,47.984375,45.65625,47.65625,28.387863,7945800,0.038121188
9/1/1994,47.5,47.71875,45.734375,46.171875,27.503639,6309300,-0.031147959
10/1/1994,46.203125,47.703125,45,47.484375,28.45751,5437600,0.034681629
11/1/1994,47.28125,47.328125,44.609375,45.59375,27.324455,4807300,-0.039815676
12/1/1994,45.640625,46.40625,44.6875,45.5625,27.305731,8568500,-0.000685247
1/1/1995,45.703125,47.234375,45.6875,47.09375,28.448441,2768000,0.041848724
2/1/1995,47.15625,49.15625,47,49.015625,29.609409,5954800,0.040809547
3/1/1995,48.96875,50.890625,48.21875,50.109375,30.270105,4538000,0.022313718
4/1/1995,50.09375,51.671875,50.0625,51.59375,31.335476,4395200,0.035195484
5/1/1995,51.546875,53.640625,51.390625,53.640625,32.578674,6986200,0.039673819
6/1/1995,53.40625,55.15625,52.75,54.40625,33.043674,5790900,0.014273141
7/1/1995,54.46875,56.703125,54.203125,56.15625,34.306831,5508200,0.038226893
8/1/1995,56.234375,56.796875,55.421875,56.40625,34.459576,8100100,0.00445232
9/1/1995,56.390625,58.90625,56.34375,58.484375,35.729115,7431600,0.036841399
10/1/1995,58.484375,59.1875,57.265625,58.3125,35.814274,8944800,0.002383462
11/1/1995,58.28125,61.203125,58.234375,60.90625,37.407307,8841700,0.044480393
12/1/1995,60.984375,62.796875,60.578125,61.484375,37.76236,9816800,0.009491541
1/1/1996,61.40625,63.6875,59.640625,63.671875,39.347637,10661800,0.041980348
2/1/1996,63.609375,66.6875,63.4375,63.875,39.473164,14850400,0.003190204
3/1/1996,64.640625,65.96875,62,64.6875,39.975288,19022700,0.012720642
4/1/1996,65,65.8125,62.125,65.390625,40.589272,14999300,0.015359089
5/1/1996,65.375,68.4375,63.078125,66.875,41.510654,17453200,0.022700136
6/1/1996,66.890625,68.5,66.15625,67.109375,41.656155,16871800,0.003505148
7/1/1996,67.28125,67.703125,60.375,64.09375,39.995068,28811500,-0.039876148
8/1/1996,64.15625,67.34375,64.0625,65.328125,40.765343,15593100,0.01925925
9/1/1996,64.46875,69.25,64.375,68.625,42.822632,17216100,0.050466618
10/1/1996,68.703125,71.625,68.4375,70.84375,44.434639,14791800,0.037643809
11/1/1996,70.984375,76.6875,70.265625,76.015625,47.678551,24089700,0.073004126
12/1/1996,75.921875,76.578125,71.875,73.84375,46.316299,34952800,-0.02857159
1/1/1997,74.375,79.6875,72.75,78.40625,49.419655,43623700,0.06700354
2/1/1997,78.71875,82,77.125,79.15625,49.892426,30028800,0.009566457
3/1/1997,78.75,81.796875,75.25,75.375,47.509087,37514300,-0.047769555
4/1/1997,75.25,80.6875,73.3125,80.09375,50.676651,57679300,0.066672803
5/1/1997,80.21875,85.5625,79.3125,85.15625,53.879761,37473400,0.063206821
6/1/1997,85.34375,90.5,84.078125,88.3125,55.876778,47332500,0.037064326
7/1/1997,88.5,96.03125,88.390625,95.3125,60.540634,65359700,0.083466803
8/1/1997,95.5,96.625,89.34375,90.375,57.404411,99046800,-0.051803604
9/1/1997,90.6875,96.375,90.25,94.375,59.945141,78642200,0.044260188
10/1/1997,95.25,98.5,84.375,92.0625,58.690765,137440500,-0.020925399
11/1/1997,93.1875,96.8125,90.09375,95.625,60.961903,93157400,0.038696684
12/1/1997,96.21875,99,92.375,97.0625,61.878311,79162300,0.01503247
1/1/1998,97.3125,99.5625,90.90625,98.3125,62.924618,104582300,0.016909107
2/1/1998,99.90625,105.53125,99.71875,105.125,67.284927,69733700,0.069294167
3/1/1998,105.25,111.53125,103.15625,109.9375,70.36515,87316900,0.045778797
4/1/1998,110.3125,113.4375,107.625,111.34375,71.470016,118629400,0.015701892
5/1/1998,111.75,113.3125,107.578125,109.03125,69.985626,116264800,-0.020769409
6/1/1998,108.96875,114.6875,107.5,113.3125,72.733719,141993600,0.039266535
7/1/1998,114.0625,119.234375,111.3125,111.78125,71.979172,155280200,-0.010374102
8/1/1998,111.78125,112.421875,95,96,61.817173,268542800,-0.141179715
9/1/1998,96.0625,107,93.625,101.75,65.519714,269370500,0.059895023
10/1/1998,100.03125,110.90625,92.21875,110,71.082336,249152700,0.084899974
11/1/1998,110.8125,119.71875,110.1875,116.125,75.040329,136369000,0.055681808
12/1/1998,116.125,124.75,113.75,123.3125,79.684883,156026700,0.061894105
1/1/1999,123.375,128.5,120.375,127.65625,82.765862,141419000,0.038664536
2/1/1999,128.6875,128.84375,121.328125,123.5625,80.111717,164624900,-0.032068113
3/1/1999,123.65625,132.625,121.78125,128.375,83.231895,148191100,0.038947836
4/1/1999,129.6875,137.5,128.125,133.25,86.60215,156755700,0.04049235
5/1/1999,133.4375,138,128,130.203125,84.62191,182566900,-0.022865945
6/1/1999,130.125,137.5,128.015625,137,89.039368,160692200,0.052202296
7/1/1999,137,142.25,132.5625,132.75,86.537636,115669100,-0.02809692
8/1/1999,132.75,138.78125,127,132.0625,86.089485,142925900,-0.005178683
9/1/1999,132.9375,136.625,125.5625,128.75,83.930107,167972700,-0.025082947
10/1/1999,127.9375,137.6875,123.4375,137,89.559685,196829400,0.067074596
11/1/1999,136.5,143,134.59375,139.28125,91.050949,125042200,0.016651063
12/1/1999,139.3125,147.5625,139,146.875,96.015167,121529300,0.054521321
1/1/2000,148.25,148.25,135,139.5625,91.458778,156770800,-0.047454888
2/1/2000,139.75,144.5625,132.71875,137.4375,90.066208,186938300,-0.015226204
3/1/2000,137.625,155.75,135.03125,150.375,98.544441,247594900,0.09413334
4/1/2000,150.125,153.109375,133.5,145.09375,95.325211,229246200,-0.032667799
