Date,CPI,SPY,DGS6MO,UNRATE,G17
8-May,215.208,0.015116395,1.863333333,5.4,101.6481
8-Jun,217.463,-0.08813702,2.185238095,5.6,101.6741
8-Jul,219.016,-0.004028756,1.975909091,5.8,101.5627
8-Aug,218.69,0.015453671,1.967142857,6.1,101.7751
8-Sep,218.877,-0.09938663,1.640952381,6.1,102.0279
8-Oct,216.995,-0.160354228,1.225909091,6.5,101.7289
8-Nov,213.153,-0.069606736,0.741111111,6.8,102.3185
8-Dec,211.398,0.001664858,0.255909091,7.3,102.3074
9-Jan,211.933,-0.074662934,0.3045,7.8,102.1686
9-Feb,212.705,-0.107448965,0.458947368,8.3,101.7673
9-Mar,212.495,0.075611758,0.425909091,8.7,101.3986
9-Apr,212.709,0.107214678,0.35047619,9,100.7238
9-May,213.022,0.058453291,0.3035,9.4,100.1399
9-Jun,214.79,-0.006268269,0.314545455,9.5,99.9141
9-Jul,214.726,0.080676405,0.279545455,9.5,99.4943
9-Aug,215.445,0.03693952,0.269047619,9.6,97.9367
9-Sep,215.861,0.030548672,0.207142857,9.8,93.6585
9-Oct,216.509,-0.014554008,0.16047619,10,94.5845
9-Nov,217.234,0.061607123,0.154736842,9.9,93.3455
9-Dec,217.347,0.013643609,0.167727273,9.9,90.7183
10-Jan,217.488,-0.031154358,0.148421053,9.8,88.4683
10-Feb,217.281,0.031194866,0.181052632,9.8,87.936
10-Mar,217.353,0.056528572,0.225652174,9.9,86.5503
10-Apr,217.403,0.019651915,0.244090909,9.9,85.8598
10-May,217.29,-0.079454389,0.2235,9.6,84.9991
10-Jun,217.199,-0.056231464,0.190909091,9.4,84.7277
10-Jul,217.605,0.073383393,0.20047619,9.4,85.7091
10-Aug,217.923,-0.044980606,0.191363636,9.5,86.6333
10-Sep,218.275,0.083752961,0.193333333,9.5,87.3615
10-Oct,219.035,0.043760085,0.1765,9.4,87.5488
10-Nov,219.59,0,0.182,9.8,87.9144
10-Dec,220.472,0.061271027,0.193181818,9.3,88.2318
11-Jan,221.187,0.028681733,0.1815,9.1,89.1936
11-Feb,221.898,0.034737462,0.168421053,9,89.5089
11-Mar,223.046,-0.004205802,0.156521739,9,90.1449
11-Apr,224.093,0.033431376,0.1195,9.1,90.474
11-May,224.806,-0.011214765,0.086666667,9,91.7131
11-Jun,224.806,-0.021719417,0.101363636,9.1,91.9287
11-Jul,225.395,-0.015146098,0.084,9,92.2737
11-Aug,226.106,-0.054975742,0.062173913,9,92.615
11-Sep,226.597,-0.074210399,0.043333333,9,92.8668
11-Oct,226.75,0.114885403,0.0545,8.8,92.6138
